Nemotorové vozidlo je:|A|Přípojné vozidlo a vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo, ruční vozík nebo potahové vozidlo.|Každé vozidlo poháněné jiným než spalovacím motorem, například elektromobil.|Kolejové vozidlo, které se účastní provozu na pozemních komunikacích.
Zastavit s vozidlem ve druhé řadě můžete jen tehdy:|A|Zůstane-li volný alespoň jeden jízdní pruh o šířce nejméně 3 m.|Nelze-li s vozidlem ve vzdálenosti menší než 100 m zastavit při okraji pozemní komunikace.|Přepravujete-li osobu těžce postiženou nebo těžce pohybově postiženou.
Připojovací pruh je:|C|Jízdní pruh vyhrazený jen pro vozidla hromadné dopravy osob.|Jízdní pruh určený pro pomalá vozidla, která nemohou v daném úseku dosáhnout okamžité rychlosti nejméně 60 km/h.|Jízdní pruh určený pro zařazování vozidel do průběžného pruhu.
Řidič motorového vozidla o maximální přípustné hmotnosti nepřevyšující 3 500 kg a autobusu smí jet:|B|Na silnici pro motorová vozidla a na dálnici rychlostí nejvýše 130 km.h-1.|Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1.|Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1, s výjimkou řidiče autobusu, který na dálnici smí jet rychlostí nejvýše 110 km.h-1.
Řidič nesmí připustit, aby počet přepravovaných osob starších 12 let překročil:|A|Počet povolených míst určených k přepravě osob.|Počet povolených míst určených k přepravě osob, jen pokud jsou vybavena zádržným bezpečnostním systémem.|Dvojnásobek počtu povolených míst určených k přepravě osob.
Předjíždí se:|C|Vlevo, a to bez výjimky.|Vpravo nebo vlevo, podle toho, kde je v dané situaci více prostoru pro bezpečné předjetí.|Vlevo; vpravo se předjíždí vozidlo, které mění směr jízdy vlevo a není-li již pochybnosti o dalším směru jeho jízdy.
Na vozovce je velká kaluž vody, kterou s motocyklem musíte projet. Jak se zachováte?|A|Výrazně snížíte rychlost jízdy, nohy necháte na stupačkách a pomalu projedete kaluží.|Nebudete brzdit, jen zvednete nohy ze stupaček a projedete kaluží.|Objedu kaluž přes chodník nebo krajnici vozovky.
Pokud nepřetržitě řídíte vozidlo o celkové hmotnosti 16 t, musíte zařadit bezpečnostní přestávku nejpozději:|A|Po 4,5 hodinách.|Po 5 hodinách.|Po 5,5 hodinách.
Může řidič číst za jízdy z mapy?|A|Ne, zvyšuje se tím riziko dopravní nehody. Řidič se musí věnovat řízení vozidla.|Ano, ale pouze při rychlosti nižší než je 50 km/h.|Ano, s výjimkou jízdy na dálnici.
Zraněný si po dopravní nehodě stěžuje na bolesti břicha a pocit žízně:|A|Nepodáváme mu žádné nápoje.|Podáváme mu studené nápoje.|Podáváme mu dostatek vlažných nápojů.
Autobus s označením "Označení autobusu přepravujícího děti" zastavil v označené zastávce. Řidič vozidla, které jede za ním:|A|Je povinen zastavit vozidlo za tímto autobusem a pokračovat v jízdě může až po odjezdu autobusu ze zastávky.|Smí tento autobus objet, pokud při tom dbá zvýšené opatrnosti a přihlédne k možnosti vběhnutí dětí do vozovky.|Smí autobus objet, jen pokud mu dopravce dává znamení, že je možné autobus bezpečně objet.
Na pozemní komunikaci objíždí vozidlo překážku. Musí jeho řidič dávat znamení o změně směru své jízdy?|A|Ano.|Ne.
Po předjetí jiného vozidla máte v úmyslu se zařadit před toto vozidlo. Musíte dávat znamení o změně směru jízdy?|A|Ano.|Ne.
V tunelu došlo k poruše motorového vozidla, které se stalo nepojízdným. Jako řidič takového vozidla nesmíte:|A|Kouřit nebo zacházet s otevřeným ohněm.|Opustit vozidlo.|Zastavovat jiná vozidla.
Zapnutím výstražného světelného znamení dává řidič upozornění, pokud:|A|Je nutné náhle snížit rychlost jízdy nebo zastavit vozidlo.|Řidič před vozidlem jede pomalu a zdržuje provoz na pozemních komunikacích.|Předjíždí kolonu vozidel, která jej zpomaluje v jízdě.
Za vozidlem hromadné dopravy osob, které zastavilo v obci v zastávce bez nástupního ostrůvku nebo bez nástupiště na zvýšeném tramvajovém pásu, musí řidič jiného vozidla:|B|Snížit rychlost vozidla s ohledem na bezpečnost nastupujících a vystupujících cestujících.|Vozidlo zastavit; je-li v zastávce více vozidel hromadné dopravy osob, musí zastavit za druhým z nich, pokračovat v jízdě smí teprve tehdy, neohrozí-li již cestující, kteří nastupují nebo vystupují.|Vozidlo zastavit i v případě, zastaví-li vozidlo hromadné dopravy osob u okraje vozovky.
Řidič nesmí překročit:|A|Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nejvyšší povolenou rychlost žádného z vozidel soupravy.|Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nemusí brát zřetel na nejvyšší povolenou rychlost přípojného vozidla.|Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, musí  brát zřetel jen na nejvyšší povolenou rychlost přípojného vozidla.
Řidič vozidla, který nehodlá nebo nemůže projet podél tramvaje vpravo:|A|Musí za ní jet v takové vzdálenosti, aby umožnil projetí podél tramvaje ostatním řidičům.|Musí pokračovat v jízdě za tramvají až na takové místo, kde lze podél tramvaje projet vpravo.|Musí zastavit vozidlo a umožnit ostatním řidičům projetí podél tramvaje.
Řidič vozidla, které zastavilo nebo stálo a opět vyjíždí od okraje pozemní komunikace nebo od chodníku:|C|Musí dávat znamení o změně směru jízdy a nesmí ohrozit ani omezit ostatní účastníky provozu na pozemních komunikacích.|Nemusí dávat znamení o změně směru jízdy a může omezit ostatní účastníky provozu na pozemních komunikacích.|Musí dávat znamení o změně směru jízdy a nesmí ohrozit ostatní účastníky provozu na pozemních komunikacích.
